Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,Departement
35019,BAZOUGES LA PEROUSE,35560,"",BAZOUGES LA PEROUSE,"48.4405619878,-1.56381100666",35
35126,GUICHEN,35580,PONT REAN,GUICHEN,"47.9653877316,-1.79026270939",35
35123,GOVEN,35580,"",GOVEN,"48.0094372843,-1.83854162867",35
35127,GUIGNEN,35580,"",GUIGNEN,"47.9235807621,-1.8619758657",35
35149,LASSY,35580,"",LASSY,"47.9717256935,-1.86370504959",35
35016,BAULON,35580,"",BAULON,"47.9948578338,-1.92813623016",35
35126,GUICHEN,35580,"",GUICHEN,"47.9653877316,-1.79026270939",35
35312,ST SENOUX,35580,"",ST SENOUX,"47.9097827425,-1.7902930218",35
35275,ST GILLES,35590,"",ST GILLES,"48.1520929859,-1.85374690386",35
35065,LA CHAPELLE THOUARAULT,35590,"",LA CHAPELLE THOUARAULT,"48.1252826202,-1.8581233152",35
35081,CLAYES,35590,"",CLAYES,"48.1786926288,-1.8539725616",35
35131,L HERMITAGE,35590,"",L HERMITAGE,"48.1221023417,-1.8166504183",35
35013,BAINS SUR OUST,35600,"",BAINS SUR OUST,"47.7118573151,-2.0751766873",35
35236,REDON,35600,"",REDON,"47.6609734327,-2.08008568692",35
35294,STE MARIE,35600,"",STE MARIE,"47.6935116851,-2.01321068932",35
35339,TRANS LA FORET,35610,"",TRANS LA FORET,"48.4878512268,-1.60369226136",35
35270,ST GEORGES DE GREHAIGNE,35610,"",ST GEORGES DE GREHAIGNE,"48.5792508588,-1.54914551771",35
35329,SOUGEAL,35610,"",SOUGEAL,"48.5026972021,-1.51517240399",35
35222,PLEINE FOUGERES,35610,"",PLEINE FOUGERES,"48.5311376904,-1.57392395573",35
35247,ROZ SUR COUESNON,35610,"",ROZ SUR COUESNON,"48.5961737576,-1.59343425986",35
35248,SAINS,35610,"",SAINS,"48.5560551633,-1.60318300159",35
35354,VIEUX VIEL,35610,"",VIEUX VIEL,"48.5010768031,-1.55308339453",35
35106,ERCE EN LAMEE,35620,"",ERCE EN LAMEE,"47.818356677,-1.58275557873",35
35332,TEILLAY,35620,"",TEILLAY,"47.8077925322,-1.5223130707",35
35058,LA CHAPELLE CHAUSSEE,35630,"",LA CHAPELLE CHAUSSEE,"48.2664350425,-1.86414756163",35
35146,LANGOUET,35630,"",LANGOUET,"48.2549305209,-1.80881548185",35
35276,ST GONDRAN,35630,"",ST GONDRAN,"48.2682672284,-1.8250126371",35
35317,ST SYMPHORIEN,35630,"",ST SYMPHORIEN,"48.280614851,-1.80334544561",35
35356,VIGNOC,35630,"",VIGNOC,"48.257222573,-1.76336508866",35
35134,LES IFFS,35630,"",LES IFFS,"48.2937886247,-1.86720916772",35
